C2_L_cmH2O,R2_cmH2O_s_L,MPtot_min,MPtot_max,EF1_min,EF1_max,EII_min,EII_max,EII_range,EF1_range,preference_reversal_across_loading_inputs
0.025,12.0,2.7473443203611896,61.91187877149388,0.6125803805913002,0.6156442219270052,0.2251607611826,0.23128844385401032,0.006127682671410312,0.003063841335705031,False
0.025,13.0,2.7359917978997723,61.761053362460636,0.6154111240482861,0.6161280513471544,0.23082224809657215,0.23225610269430877,0.0014338545977366224,0.0007169272988682973,False
0.025,14.0,2.723616935069227,61.5650113044936,0.6160134230735349,0.6200489904599285,0.23202684614706967,0.2400979809198569,0.00807113477278723,0.004035567386393546,False
0.025,15.0,2.710429209362238,61.3330906845977,0.6172779055803386,0.6242349522819195,0.2345558111606771,0.2484699045638387,0.013914093403161576,0.006957046701580927,False
0.025,16.0,2.6966179728164037,61.073174108912056,0.6190677313745352,0.6286044510358566,0.2381354627490704,0.257208902071713,0.019073439322642577,0.009536719661321413,False
0.03,4.0,3.0032120413164733,65.01976732486061,0.5611122708191195,0.6366895286149318,0.1222245416382392,0.2733790572298633,0.15115451559162407,0.07557725779581226,False
0.03,5.0,3.002970711150919,65.79574844546227,0.5611573639386457,0.612187149519052,0.1223147278772914,0.22437429903810402,0.10205957116081261,0.05102978558040627,False
0.03,6.0,3.0003058906417928,66.33896719092624,0.5616557743363771,0.5955204742656763,0.12331154867275435,0.19104094853135276,0.06772939985859841,0.03386469992929919,False
0.03,7.0,2.994667564023634,66.67078765491063,0.561505778008692,0.5844762978681495,0.12301155601738373,0.16895259573629867,0.045941039718914944,0.022970519859457528,False
0.03,8.0,2.985888566779248,66.81950940180276,0.562330570079459,0.5775017089638766,0.12466114015891767,0.15500341792775316,0.030342277768835482,0.015171138884417679,False
0.03,9.0,2.974138049278932,66.81570844169592,0.5648556458648315,0.5735015876549113,0.12971129172966292,0.1470031753098228,0.017291883580159872,0.008645941790079825,False
