E_vent_J,E_mus_J,E_tot_J,E1_tot_J,E2_tot_J,MP_vent_Jmin,MP_mus_Jmin,MP_tot_Jmin,REF1,REF2,EII,ECF,HBR,VT1_L,VT2_L,VT_total_L,Flow1_peak_Ls,Flow2_peak_Ls,Flow_total_peak_Ls,Pdist_peak_cmH2O,C1_L_cmH2O,R1_cmH2O_s_L,C2_L_cmH2O,R2_cmH2O_s_L,PEEP_cmH2O,PS_cmH2O,RR_bpm,Ti_s,Energy_balance_error_J,Partition_balance_error,phenotype,Pmus_peak_cmH2O,Tmus_s,Pmus_onset_s
0.2485049787030424,0.0,0.2485049787030424,0.09361884045857832,0.15488613824446407,4.473089616654763,0.0,4.473089616654763,0.37672822873480794,0.6232717712651921,0.24654354253038416,0.0,1.0,0.1912555050166022,0.3162578386147169,0.5075133436313191,0.625,0.625,1.25,5.0,0.04,8.0,0.08,8.0,5.0,5.0,18.0,1.0,0.0,0.0,compliance_dominant,0.0,0.6,0.0
0.2485049787030424,0.0,0.2485049787030424,0.09361884045857832,0.15488613824446407,4.473089616654763,0.0,4.473089616654763,0.37672822873480794,0.6232717712651921,0.24654354253038416,0.0,1.0,0.1912555050166022,0.3162578386147169,0.5075133436313191,0.625,0.625,1.25,5.0,0.04,8.0,0.08,8.0,5.0,5.0,18.0,1.0,0.0,0.0,compliance_dominant,0.0,1.0,0.0
0.2485049787030424,0.0,0.2485049787030424,0.09361884045857832,0.15488613824446407,4.473089616654763,0.0,4.473089616654763,0.37672822873480794,0.6232717712651921,0.24654354253038416,0.0,1.0,0.1912555050166022,0.3162578386147169,0.5075133436313191,0.625,0.625,1.25,5.0,0.04,8.0,0.08,8.0,5.0,5.0,18.0,1.0,0.0,0.0,compliance_dominant,0.0,1.4,0.0
0.28113009789364335,0.1142406266078829,0.3953707245015262,0.14854517891391927,0.24682554558760697,5.060341762085581,2.056331278941892,7.116673041027472,0.37571112302561455,0.6242888769743855,0.24857775394877096,0.2889455883510715,1.4063621343421655,0.20870499565911563,0.36527936564900326,0.5739843613081189,0.6251308977799827,0.7332580960664384,1.3315271508736255,8.0,0.04,8.0,0.08,8.0,5.0,5.0,18.0,1.0,0.0,0.0,compliance_dominant,3.0,0.6,0.0
0.3361678614636069,0.13655734288245044,0.47272520434605736,0.17359468179395804,0.29913052255209926,6.051021506344924,2.458032171884108,8.509053678229032,0.3672211259268471,0.6327788740731528,0.2655577481463058,0.28887256619066154,1.4062177219675533,0.25397641867390625,0.4321316547459189,0.6861080734198252,0.625,0.6463151486927897,1.25,8.0,0.04,8.0,0.08,8.0,5.0,5.0,18.0,1.0,0.0,1.1102230246251565e-16,compliance_dominant,3.0,1.0,0.0
0.37351108821495377,0.14197203619037363,0.5154831244053275,0.19205658803905593,0.32342653636627156,6.723199587869168,2.555496651426725,9.278696239295895,0.37257589811619257,0.6274241018838074,0.2548482037676148,0.27541548785744563,1.3801012625056783,0.2911464789470833,0.4713248741472159,0.7624713530942993,0.625,0.625,1.25,8.0,0.04,8.0,0.08,8.0,5.0,5.0,18.0,1.0,1.1102230246251565e-16,0.0,compliance_dominant,3.0,1.4,0.0
0.313755217084244,0.3075883960885731,0.621343613172817,0.23652815409205363,0.3848154590807635,5.6475939075163915,5.536591129594315,11.184185037110707,0.38067206144479515,0.619327938555205,0.2386558771104098,0.4950375115596821,1.9803451204637177,0.22615448630162932,0.4143008926832893,0.6404553789849186,0.8112055209812534,1.0104364644576485,1.8086457591304357,11.0,0.04,8.0,0.08,8.0,5.0,5.0,18.0,1.0,0.0,0.0,compliance_dominant,6.0,0.6,0.0
0.4238307442241719,0.37145768262381845,0.7952884268479905,0.29060220631718003,0.5046862205308104,7.628953396035094,6.686238287228732,14.31519168326383,0.3654047971865244,0.6345952028134755,0.269190405626951,0.46707291352904085,1.8764293003419967,0.3166973323312102,0.5480054708771203,0.8647028032083305,0.6619045604065801,0.8664083927250663,1.5035511077430894,11.0,0.04,8.0,0.08,8.0,5.0,5.0,18.0,1.0,2.220446049250313e-16,1.1102230246251565e-16,compliance_dominant,6.0,1.0,0.0
0.4985171977268654,0.40132738720559713,0.8998445849324627,0.33491061831475655,0.5649339666177061,8.973309559083578,7.223892969700748,16.197202528784327,0.3721871797893778,0.6278128202106221,0.25562564042124436,0.4459963352846298,1.8050422112528242,0.39103745287756353,0.626391909679714,1.0174293625572775,0.625,0.7641072503953341,1.3123750062214483,11.0,0.04,8.0,0.08,8.0,5.0,5.0,18.0,1.0,1.1102230246251565e-16,0.0,compliance_dominant,6.0,1.4,0.0
0.3463803362748453,0.5800433084420705,0.9264236447169157,0.35756776599298234,0.5688558787239334,6.234846052947216,10.44077955195727,16.675625604904482,0.38596571669135576,0.6140342833086442,0.22806856661728844,0.6261102161520419,2.674584979852374,0.24360397694414268,0.4633224197175753,0.706926396661718,1.037545084512467,1.2965299255362863,2.320716431496118,14.0,0.04,8.0,0.08,8.0,5.0,5.0,18.0,1.0,1.1102230246251565e-16,0.0,compliance_dominant,9.0,0.6,0.0
0.511493626984737,0.7047010192241042,1.2161946462088413,0.444641414028244,0.7715532321805972,9.206885285725265,12.684618346033876,21.891503631759143,0.3656005355839163,0.6343994644160836,0.2687989288321673,0.5794311144361797,2.3777317683864956,0.37941824598851426,0.6638792870083213,1.0432975329968355,0.8268621247242501,1.1104835208233774,1.9170868394886573,14.0,0.04,8.0,0.08,8.0,5.0,5.0,18.0,1.0,0.0,0.0,compliance_dominant,9.0,1.0,0.0
0.623523307238777,0.7780660530456703,1.4015893602844474,0.5221809312856796,0.8794084289987678,11.223419530297987,14.005188954822065,25.228608485120052,0.37256342412566895,0.6274365758743311,0.25487315174866215,0.5551312496320354,2.2478540000233087,0.4909284268080444,0.7814589452122128,1.2723873720202572,0.697413612829034,0.973937363745316,1.6439684108005095,14.0,0.04,8.0,0.08,8.0,5.0,5.0,18.0,1.0,0.0,0.0,compliance_dominant,9.0,1.4,0.0
0.37900545546544706,0.9316053636683757,1.3106108191338226,0.5116640146167047,0.798946804517118,6.822098198378047,16.76889654603076,23.590994744408807,0.39040118328556256,0.6095988167144375,0.219197633428875,0.7108176966554188,3.458026263828563,0.2610534675866558,0.5123439467518603,0.7733974143385162,1.2698086167805696,1.5846311984743178,2.8396477830056295,17.0,0.04,8.0,0.08,8.0,5.0,5.0,18.0,1.0,0.0,0.0,compliance_dominant,12.0,0.6,0.0
0.5991565097453017,1.1362873526833068,1.7354438624286088,0.6357123049271486,1.0997315575014603,10.78481717541543,20.453172348299525,31.23798952371496,0.36631107389294765,0.6336889261070524,0.26737785221410476,0.6547531598591542,2.8964783561582883,0.4421391596458181,0.7797531031395233,1.2218922627853415,1.008183545117066,1.3589817413661591,2.345884311755869,17.0,0.04,8.0,0.08,8.0,5.0,5.0,18.0,1.0,2.220446049250313e-16,0.0,compliance_dominant,12.0,1.0,0.0
0.7485294167506881,1.272188033710592,2.0207174504612797,0.7538675269518239,1.266849923509456,13.473529501512385,22.899384606790655,36.372914108303036,0.3730692417090448,0.6269307582909552,0.2538615165819105,0.6295724488449302,2.6995832164259728,0.5908194007385252,0.936525980744713,1.5273453814832383,0.840441034972733,1.1914648438460316,2.0064431805007974,17.0,0.04,8.0,0.08,8.0,5.0,5.0,18.0,1.0,4.440892098500626e-16,0.0,compliance_dominant,12.0,1.4,0.0
0.9940199148121696,0.0,0.9940199148121696,0.3744753618343133,0.6195445529778563,17.89235846661905,0.0,17.89235846661905,0.37672822873480794,0.6232717712651921,0.24654354253038416,0.0,1.0,0.3825110100332044,0.6325156772294338,1.0150266872626381,1.25,1.25,2.5,10.0,0.04,8.0,0.08,8.0,5.0,10.0,18.0,1.0,0.0,0.0,compliance_dominant,0.0,0.6,0.0
0.9940199148121696,0.0,0.9940199148121696,0.3744753618343133,0.6195445529778563,17.89235846661905,0.0,17.89235846661905,0.37672822873480794,0.6232717712651921,0.24654354253038416,0.0,1.0,0.3825110100332044,0.6325156772294338,1.0150266872626381,1.25,1.25,2.5,10.0,0.04,8.0,0.08,8.0,5.0,10.0,18.0,1.0,0.0,0.0,compliance_dominant,0.0,1.0,0.0
0.9940199148121696,0.0,0.9940199148121696,0.3744753618343133,0.6195445529778563,17.89235846661905,0.0,17.89235846661905,0.37672822873480794,0.6232717712651921,0.24654354253038416,0.0,1.0,0.3825110100332044,0.6325156772294338,1.0150266872626381,1.25,1.25,2.5,10.0,0.04,8.0,0.08,8.0,5.0,10.0,18.0,1.0,0.0,0.0,compliance_dominant,0.0,1.4,0.0
1.059270153193371,0.18892768177936214,1.2481978349727332,0.46779972038359896,0.7803981145891342,19.066862757480678,3.4006982720285186,22.4675610295092,0.3747801087908617,0.6252198912091383,0.25043978241827664,0.15136036651072163,1.1783564666764224,0.3999605006757176,0.6815372042637207,1.0814977049394383,1.25,1.2501331924226842,2.5,13.0,0.04,8.0,0.08,8.0,5.0,10.0,18.0,1.0,0.0,0.0,compliance_dominant,3.0,0.6,0.0
1.169345680333298,0.22394318733544216,1.3932888676687403,0.515911202911152,0.8773776647575883,21.048222245999362,4.030977372037959,25.079199618037325,0.37028301516136986,0.6297169848386301,0.2594339696772603,0.16072990499819703,1.191511535982766,0.44523192369050835,0.748389493360636,1.1936214170511443,1.25,1.25,2.5,13.0,0.04,8.0,0.08,8.0,5.0,10.0,18.0,1.0,2.220446049250313e-16,0.0,compliance_dominant,3.0,1.0,0.0
1.2440321338359912,0.22525241496832216,1.4692845488043134,0.5491427156476564,0.920141833156657,22.392578409047843,4.054543469429799,26.447121878477642,0.37374837712309866,0.6262516228769013,0.2525032457538027,0.15330755036635343,1.1810663959891077,0.4824019839636855,0.7875827127619331,1.2699846967256185,1.25,1.25,2.5,13.0,0.04,8.0,0.08,8.0,5.0,10.0,18.0,1.0,0.0,0.0,compliance_dominant,3.0,1.4,0.0
1.1245203915745734,0.4569625064315316,1.5814828980061049,0.5941807156556771,0.9873021823504279,20.241367048342322,8.225325115767568,28.466692164109887,0.37571112302561455,0.6242888769743855,0.24857775394877096,0.2889455883510715,1.4063621343421655,0.41740999131823125,0.7305587312980065,1.1479687226162378,1.2502617955599653,1.4665161921328769,2.663054301747251,16.0,0.04,8.0,0.08,8.0,5.0,10.0,18.0,1.0,0.0,0.0,compliance_dominant,6.0,0.6,0.0
1.3446714458544275,0.5462293715298018,1.8909008173842294,0.6943787271758322,1.196522090208397,24.204086025379695,9.832128687536432,34.03621471291613,0.3672211259268471,0.6327788740731528,0.2655577481463058,0.28887256619066154,1.4062177219675533,0.5079528373478125,0.8642633094918378,1.3722161468396503,1.25,1.2926302973855794,2.5,16.0,0.04,8.0,0.08,8.0,5.0,10.0,18.0,1.0,0.0,1.1102230246251565e-16,compliance_dominant,6.0,1.0,0.0
1.494044352859815,0.5678881447614945,2.06193249762131,0.7682263521562237,1.2937061454650862,26.89279835147667,10.2219866057069,37.11478495718358,0.37257589811619257,0.6274241018838074,0.2548482037676148,0.27541548785744563,1.3801012625056783,0.5822929578941666,0.9426497482944318,1.5249427061885985,1.25,1.25,2.5,16.0,0.04,8.0,0.08,8.0,5.0,10.0,18.0,1.0,4.440892098500626e-16,0.0,compliance_dominant,6.0,1.4,0.0
1.1897706299557755,0.8041044739565087,1.9938751039122842,0.7536183476505504,1.2402567562617337,21.41587133920396,14.473880531217157,35.889751870421115,0.37796667713631477,0.6220333228636852,0.2440666457273704,0.4032872833302017,1.6758483137093387,0.43485948196074475,0.7795802583322924,1.2144397402930371,1.410596810041267,1.7390145004482909,3.120632879972348,19.0,0.04,8.0,0.08,8.0,5.0,10.0,18.0,1.0,0.0,0.0,compliance_dominant,9.0,0.6,0.0
1.519997211375558,0.9668585525830794,2.4868557639586375,0.9098779346283568,1.5769778293302803,27.359949804760042,17.40345394649543,44.763403751255474,0.365874831912242,0.6341251680877578,0.26825033617551575,0.3887875471490998,1.6360923200037307,0.5706737510051159,0.9801371256230388,1.5508108766281548,1.25,1.4989103689637773,2.6366754077160266,19.0,0.04,8.0,0.08,8.0,5.0,10.0,18.0,1.0,0.0,2.220446049250313e-16,compliance_dominant,9.0,1.0,0.0
1.7440565718836378,1.0279071893795162,2.771963761263154,1.0317262713600128,1.7402374899031412,31.39301829390548,18.50232940883129,49.89534770273677,0.37220049041689723,0.6277995095831028,0.25559901916620564,0.37082273720314074,1.5893772059637623,0.6821839318246465,1.097716783826931,1.7799007156515776,1.25,1.3390162313921583,2.5,19.0,0.04,8.0,0.08,8.0,5.0,10.0,18.0,1.0,4.440892098500626e-16,0.0,compliance_dominant,9.0,1.4,0.0
1.255020868336976,1.2303535843542923,2.485374452691268,0.9461126163682145,1.539261836323054,22.590375630065566,22.14636451837726,44.73674014844283,0.38067206144479515,0.619327938555205,0.2386558771104098,0.4950375115596821,1.9803451204637177,0.45230897260325864,0.8286017853665786,1.280910757969837,1.6224110419625069,2.020872928915297,3.6172915182608714,22.0,0.04,8.0,0.08,8.0,5.0,10.0,18.0,1.0,0.0,0.0,compliance_dominant,12.0,0.6,0.0
1.6953229768966875,1.4858307304952738,3.181153707391962,1.1624088252687201,2.0187448821232414,30.515813584140375,26.744953148914927,57.26076673305532,0.3654047971865244,0.6345952028134755,0.269190405626951,0.46707291352904085,1.8764293003419967,0.6333946646624204,1.0960109417542405,1.729405606416661,1.3238091208131602,1.7328167854501326,3.007102215486179,22.0,0.04,8.0,0.08,8.0,5.0,10.0,18.0,1.0,8.881784197001252e-16,1.1102230246251565e-16,compliance_dominant,12.0,1.0,0.0
1.9940687909074617,1.6053095488223885,3.5993783397298507,1.3396424732590262,2.2597358664708245,35.89323823633431,28.895571878802993,64.78881011513731,0.3721871797893778,0.6278128202106221,0.25562564042124436,0.4459963352846298,1.8050422112528242,0.7820749057551271,1.252783819359428,2.034858725114555,1.25,1.5282145007906682,2.6247500124428966,22.0,0.04,8.0,0.08,8.0,5.0,10.0,18.0,1.0,4.440892098500626e-16,0.0,compliance_dominant,12.0,1.4,0.0
2.2365448083273822,0.0,2.2365448083273822,0.842569564127206,1.3939752442001763,40.25780654989288,0.0,40.25780654989288,0.37672822873480827,0.6232717712651917,0.24654354253038346,0.0,1.0,0.5737665150498065,0.9487735158441509,1.5225400308939574,1.875,1.875,3.75,15.0,0.04,8.0,0.08,8.0,5.0,15.0,18.0,1.0,0.0,0.0,compliance_dominant,0.0,0.6,0.0
2.2365448083273822,0.0,2.2365448083273822,0.842569564127206,1.3939752442001763,40.25780654989288,0.0,40.25780654989288,0.37672822873480827,0.6232717712651917,0.24654354253038346,0.0,1.0,0.5737665150498065,0.9487735158441509,1.5225400308939574,1.875,1.875,3.75,15.0,0.04,8.0,0.08,8.0,5.0,15.0,18.0,1.0,0.0,0.0,compliance_dominant,0.0,1.0,0.0
2.2365448083273822,0.0,2.2365448083273822,0.842569564127206,1.3939752442001763,40.25780654989288,0.0,40.25780654989288,0.37672822873480827,0.6232717712651917,0.24654354253038346,0.0,1.0,0.5737665150498065,0.9487735158441509,1.5225400308939574,1.875,1.875,3.75,15.0,0.04,8.0,0.08,8.0,5.0,15.0,18.0,1.0,0.0,0.0,compliance_dominant,0.0,1.4,0.0
2.3344201658991834,0.2636147369508414,2.598034902850025,0.9742919427704335,1.623742960079591,42.0195629861853,4.745065265115145,46.76462825130045,0.37501110616398664,0.6249888938360131,0.24997778767202644,0.10146697285000213,1.112925145525078,0.5912160056923201,0.9977950428784378,1.5890110485707578,1.875,1.875,3.75,18.0,0.04,8.0,0.08,8.0,5.0,15.0,18.0,1.0,4.440892098500626e-16,2.220446049250313e-16,compliance_dominant,3.0,0.6,0.0
2.4995334566090723,0.3113290317884337,2.810862488397506,1.0454654049455012,1.7653970834520054,44.9916022189633,5.603922572191807,50.595524791155114,0.37193758473098726,0.6280624152690129,0.2561248305380256,0.11075925381391556,1.1245548568134753,0.6364874287071113,1.0646473319753527,1.7011347606824638,1.875,1.875,3.75,18.0,0.04,8.0,0.08,8.0,5.0,15.0,18.0,1.0,0.0,0.0,compliance_dominant,3.0,1.0,0.0
2.6115631368631145,0.3085327937462711,2.9200959306093854,1.0934665241734138,1.8266294064359716,47.00813646353606,5.553590287432879,52.56172675096894,0.3744625348473472,0.6255374651526527,0.25107493030530553,0.10565844447510474,1.1181410433434382,0.6736574889802878,1.1038405513766485,1.7774980403569363,1.875,1.875,3.75,18.0,0.04,8.0,0.08,8.0,5.0,15.0,18.0,1.0,0.0,0.0,compliance_dominant,3.0,1.4,0.0
2.4322955234709873,0.6063366167744904,3.0386321402454772,1.1390709581364582,1.8995611821090195,43.78131942247777,10.914059101940826,54.69537852441859,0.3748630652094787,0.6251369347905215,0.2502738695810427,0.19954261943846457,1.2492857512269817,0.6086654963348334,1.0468165699127223,1.6554820662475556,1.875,1.9557605300405854,3.75,21.0,0.04,8.0,0.08,8.0,5.0,15.0,18.0,1.0,4.440892098500626e-16,2.220446049250313e-16,compliance_dominant,6.0,0.6,0.0
