C2_L_cmH2O,R2_cmH2O_s_L,PS_cmH2O,Tmus_s,EII_min,EII_max,EF1_min,EF1_max,EII_range,EF1_range
0.02,4.0,5.0,0.6,0.31537512596418554,0.4134206940809165,0.6576875629820929,0.7067103470404582,0.09804556811673093,0.049022784058365354
0.02,4.0,5.0,1.0,0.31537512596418554,0.5343631190691697,0.6576875629820929,0.767181559534585,0.21898799310498412,0.10949399655249215
0.02,4.0,5.0,1.4,0.31537512596418554,0.4131573750224124,0.6576875629820929,0.7065786875112061,0.09778224905822686,0.04889112452911326
0.02,4.0,10.0,0.6,0.31537512596418554,0.4053717456025191,0.6576875629820929,0.7026858728012596,0.08999661963833355,0.04499830981916675
0.02,4.0,10.0,1.0,0.31537512596418554,0.49312468278861127,0.6576875629820929,0.7465623413943057,0.17774955682442573,0.08887477841221281
0.02,4.0,10.0,1.4,0.31537512596418554,0.39467882532603416,0.6576875629820929,0.6973394126630171,0.07930369936184861,0.03965184968092428
0.02,4.0,15.0,0.6,0.31537512596418643,0.39141642509705327,0.6576875629820932,0.6957082125485267,0.07604129913286684,0.03802064956643347
0.02,4.0,15.0,1.0,0.31537512596418643,0.46013933533164464,0.6576875629820932,0.7300696676658223,0.1447642093674582,0.07238210468372908
0.02,4.0,15.0,1.4,0.31537512596418643,0.38085744144174744,0.6576875629820932,0.6904287207208737,0.065482315477561,0.0327411577387805
0.02,5.0,5.0,0.6,0.3148270652952812,0.37897499634439347,0.6574135326476407,0.6894874981721968,0.06414793104911226,0.0320739655245561
0.02,5.0,5.0,1.0,0.3148270652952812,0.4868322049428257,0.6574135326476407,0.7434161024714129,0.1720051396475445,0.08600256982377219
0.02,5.0,5.0,1.4,0.3148270652952812,0.39269718109796947,0.6574135326476407,0.6963485905489847,0.07787011580268827,0.038935057901343995
0.02,5.0,10.0,0.6,0.3148270652952812,0.377715743264759,0.6574135326476407,0.6888578716323795,0.06288867796947778,0.03144433898473886
0.02,5.0,10.0,1.0,0.3148270652952812,0.45722735406031195,0.6574135326476407,0.728613677030156,0.14240028876503075,0.07120014438251532
