E_vent_J,E_mus_J,E_tot_J,E1_tot_J,E2_tot_J,MP_vent_Jmin,MP_mus_Jmin,MP_tot_Jmin,REF1,REF2,EII,ECF,HBR,VT1_L,VT2_L,VT_total_L,Flow1_peak_Ls,Flow2_peak_Ls,Flow_total_peak_Ls,Pdist_peak_cmH2O,C1_L_cmH2O,R1_cmH2O_s_L,C2_L_cmH2O,R2_cmH2O_s_L,PEEP_cmH2O,PS_cmH2O,RR_bpm,Ti_s,Energy_balance_error_J,Partition_balance_error,Pmus_peak_cmH2O,Tmus_s,Pmus_onset_s,dt_s,tau1_s,tau2_s
0.1423454626906596,0.0,0.1423454626906596,0.09361884045857832,0.04872662223208128,2.5622183284318725,0.0,2.5622183284318725,0.6576875629820929,0.34231243701790726,0.31537512596418554,0.0,1.0,0.1912555050166022,0.09999965556736151,0.2912551605839637,0.625,1.25,1.875,5.0,0.04,8.0,0.02,4.0,5.0,5.0,18.0,1.0,0.0,0.0,0.0,0.6,0.0,0.001,0.32,0.08
0.1423454626906596,0.0,0.1423454626906596,0.09361884045857832,0.04872662223208128,2.5622183284318725,0.0,2.5622183284318725,0.6576875629820929,0.34231243701790726,0.31537512596418554,0.0,1.0,0.1912555050166022,0.09999965556736151,0.2912551605839637,0.625,1.25,1.875,5.0,0.04,8.0,0.02,4.0,5.0,5.0,18.0,1.0,0.0,0.0,0.0,1.0,0.0,0.001,0.32,0.08
0.1423454626906596,0.0,0.1423454626906596,0.09361884045857832,0.04872662223208128,2.5622183284318725,0.0,2.5622183284318725,0.6576875629820929,0.34231243701790726,0.31537512596418554,0.0,1.0,0.1912555050166022,0.09999965556736151,0.2912551605839637,0.625,1.25,1.875,5.0,0.04,8.0,0.02,4.0,5.0,5.0,18.0,1.0,0.0,0.0,0.0,1.4,0.0,0.001,0.32,0.08
0.15098397249412898,0.06434892834426514,0.21533290083839415,0.14854517891391927,0.06678772192447487,2.7177115048943215,1.1582807101967725,3.875992215091095,0.6898396777062944,0.31016032229370555,0.37967935541258885,0.29883463276500677,1.4261970809303444,0.20870499565911563,0.10013958599554733,0.30884458165466294,0.6251308977799827,1.25,1.875,8.0,0.04,8.0,0.02,4.0,5.0,5.0,18.0,1.0,2.7755575615628914e-17,0.0,3.0,0.6,0.0,0.001,0.32,0.08
0.18015086660153223,0.06158982814563979,0.24174069474717205,0.17359468179395804,0.06814601295321397,3.24271559882758,1.1086169066215161,4.351332505449097,0.7181028497312565,0.28189715026874335,0.43620569946251314,0.25477641739242285,1.341879166653512,0.25397641867390625,0.11419394649788746,0.3681703651717937,0.625,1.25,1.875,8.0,0.04,8.0,0.02,4.0,5.0,5.0,18.0,1.0,2.7755575615628914e-17,2.220446049250313e-16,3.0,1.0,0.0,0.001,0.32,0.08
0.21682411940985588,0.06339149112745758,0.2802156105373135,0.19205658803905593,0.08815902249825755,3.902834149377406,1.1410468402942364,5.043880989671642,0.6853886108300226,0.3146113891699774,0.3707772216600452,0.22622398161866997,1.2923636507783094,0.2911464789470833,0.1519621679246569,0.4431086468717402,0.625,1.25,1.875,8.0,0.04,8.0,0.02,4.0,5.0,5.0,18.0,1.0,0.0,0.0,3.0,1.4,0.0,0.001,0.32,0.08
0.15962248229759826,0.17698333724041712,0.3366058195380154,0.23652815409205363,0.10007766544596179,2.8732046813567687,3.185700070327508,6.058904751684277,0.7026858728012596,0.2973141271987405,0.4053717456025191,0.525788108724095,2.10876196568884,0.22615448630162932,0.10027951642373316,0.3264340027253625,0.8112055209812534,1.25,1.875,11.0,0.04,8.0,0.02,4.0,5.0,5.0,18.0,1.0,0.0,0.0,6.0,0.6,0.0,0.001,0.32,0.08
0.21795627051240535,0.17129750000921148,0.38925377052161686,0.29060220631718003,0.09865156420443684,3.9232128692232964,3.0833550001658065,7.006567869389103,0.7465623413943057,0.2534376586056944,0.49312468278861127,0.4400663859457686,1.7859260006904083,0.3166973323312102,0.12838823742841332,0.44508556975962354,0.6619045604065801,1.25,1.875,11.0,0.04,8.0,0.02,4.0,5.0,5.0,18.0,1.0,5.551115123125783e-17,0.0,6.0,1.0,0.0,0.001,0.32,0.08
0.2913027761290522,0.18896639012356445,0.48026916625261656,0.33491061831475655,0.14535854793786004,5.243449970322939,3.4013950222241602,8.644844992547098,0.6973394126630171,0.302660587336983,0.39467882532603416,0.39345934197276805,1.6486940929112497,0.39103745287756353,0.20392468028195232,0.5949621331595158,0.625,1.25,1.875,11.0,0.04,8.0,0.02,4.0,5.0,5.0,18.0,1.0,5.551115123125783e-17,0.0,6.0,1.4,0.0,0.001,0.32,0.08
0.16826099210106812,0.337903226688456,0.5061642187895241,0.35756776599298234,0.1485964527965417,3.028697857819226,6.082258080392208,9.110955938211434,0.7064263982311797,0.29357360176882014,0.41285279646235956,0.6675762808689657,3.008208928695072,0.24360397694414268,0.10041944685191882,0.3440234237960615,1.037545084512467,1.25,1.9288193739908206,14.0,0.04,8.0,0.02,4.0,5.0,5.0,18.0,1.0,0.0,2.220446049250313e-16,9.0,0.6,0.0,0.001,0.32,0.08
0.25576167442327846,0.32912301559071533,0.5848846900139938,0.444641414028244,0.14024327598574987,4.603710139619013,5.924214280632876,10.527924420251889,0.7602206411277506,0.23977935887224958,0.5204412822555009,0.5627143626940223,2.2868347704278236,0.37941824598851426,0.1425825283589393,0.5220007743474535,0.8268621247242501,1.25,1.875,14.0,0.04,8.0,0.02,4.0,5.0,5.0,18.0,1.0,0.0,2.220446049250313e-16,9.0,1.0,0.0,0.001,0.32,0.08
