E_vent_J,E_mus_J,E_tot_J,E1_tot_J,E2_tot_J,MP_vent_Jmin,MP_mus_Jmin,MP_tot_Jmin,REF1,REF2,EII,ECF,HBR,VT1_L,VT2_L,VT_total_L,Flow1_peak_Ls,Flow2_peak_Ls,Flow_total_peak_Ls,Pdist_peak_cmH2O,C1_L_cmH2O,R1_cmH2O_s_L,C2_L_cmH2O,R2_cmH2O_s_L,PEEP_cmH2O,PS_cmH2O,RR_bpm,Ti_s,Energy_balance_error_J,Partition_balance_error,Pmus_peak_cmH2O,Tmus_s,Pmus_onset_s,dt_s,tau1_s,tau2_s
0.14256814334473167,0.0,0.14256814334473167,0.09368829850440956,0.04887984484032212,2.56622658020517,0.0,2.56622658020517,0.6571474966737134,0.34285250332628664,0.31429499334742683,0.0,1.0,0.19123406300815135,0.09999964166986842,0.2912337046780198,0.625,1.25,1.875,5.0,0.04,8.0,0.02,4.0,5.0,5.0,18.0,1.0,0.0,0.0,0.0,0.6,0.0,0.0005,0.32,0.08
0.14256814334473167,0.0,0.14256814334473167,0.09368829850440956,0.04887984484032212,2.56622658020517,0.0,2.56622658020517,0.6571474966737134,0.34285250332628664,0.31429499334742683,0.0,1.0,0.19123406300815135,0.09999964166986842,0.2912337046780198,0.625,1.25,1.875,5.0,0.04,8.0,0.02,4.0,5.0,5.0,18.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0005,0.32,0.08
0.14256814334473167,0.0,0.14256814334473167,0.09368829850440956,0.04887984484032212,2.56622658020517,0.0,2.56622658020517,0.6571474966737134,0.34285250332628664,0.31429499334742683,0.0,1.0,0.19123406300815135,0.09999964166986842,0.2912337046780198,0.625,1.25,1.875,5.0,0.04,8.0,0.02,4.0,5.0,5.0,18.0,1.0,0.0,0.0,0.0,1.4,0.0,0.0005,0.32,0.08
0.1512009466048389,0.06443021171866338,0.2156311583235023,0.14862150577703584,0.06700965254646647,2.7216170388871004,1.1597438109359408,3.881360849823041,0.6892394723125556,0.31076052768744455,0.378478944625111,0.2987982452053681,1.4261230710879782,0.2086839496248781,0.10014167325012689,0.308825622875005,0.6251307972027424,1.25,1.875,8.0,0.04,8.0,0.02,4.0,5.0,5.0,18.0,1.0,2.7755575615628914e-17,0.0,3.0,0.6,0.0,0.0005,0.32,0.08
0.18030431252660883,0.06166936162258142,0.24197367414919024,0.17364524295232023,0.06832843119687006,3.245477625478959,1.1100485092064656,4.355526134685425,0.7176203922301823,0.28237960776981785,0.43524078446036446,0.25485979761814426,1.342029321198185,0.2539121732348801,0.11418867885460823,0.3681008520894883,0.625,1.25,1.875,8.0,0.04,8.0,0.02,4.0,5.0,5.0,18.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0005,0.32,0.08
0.2170233033434139,0.063450377893399,0.28047368123681293,0.1921399737249202,0.0883337075118927,3.9064194601814504,1.142106802081182,5.048526262262633,0.6850552710601401,0.31494472893985986,0.3701105421202802,0.22622578208978478,1.2923666579390152,0.29110297000214214,0.15195659524467509,0.4430595652468172,0.625,1.25,1.875,8.0,0.04,8.0,0.02,4.0,5.0,5.0,18.0,1.0,0.0,0.0,3.0,1.4,0.0,0.0005,0.32,0.08
0.15983374986494608,0.1771599251787441,0.3369936750436902,0.2366017738942085,0.10039190114948164,2.8770074975690294,3.188878653217394,6.065886150786424,0.7020955923387399,0.2979044076612599,0.40419118467747994,0.5257069740426904,2.1084012314572993,0.22613383624160438,0.10028370483038536,0.3264175410719897,0.8111004622189747,1.25,1.875,11.0,0.04,8.0,0.02,4.0,5.0,5.0,18.0,1.0,5.551115123125783e-17,2.220446049250313e-16,6.0,0.6,0.0,0.0005,0.32,0.08
0.21804048170848614,0.1714795395233607,0.3895200212318469,0.2906317146873485,0.09888830654449836,3.9247286707527507,3.086631711420493,7.011360382173245,0.746127795352427,0.2538722046475728,0.49225559070485414,0.4402329281587661,1.7864573503952537,0.31659028346160856,0.1283777160393482,0.4449679995009568,0.6618834225845773,1.25,1.875,11.0,0.04,8.0,0.02,4.0,5.0,5.0,18.0,1.0,1.1102230246251565e-16,2.220446049250313e-16,6.0,1.0,0.0,0.0005,0.32,0.08
0.29147846334209637,0.18907792336455068,0.480556386706647,0.3349999083985073,0.14555647830813978,5.246612340157735,3.4034026205619123,8.650014960719647,0.6971084302808489,0.30289156971915127,0.39421686056169764,0.39345626984658566,1.6486857423240826,0.39097187699613356,0.20391354881948182,0.5948854258156153,0.625,1.25,1.875,11.0,0.04,8.0,0.02,4.0,5.0,5.0,18.0,1.0,0.0,2.220446049250313e-16,6.0,1.4,0.0,0.0005,0.32,0.08
0.1684665531250527,0.33818914038024195,0.5066556935052947,0.3576291028559271,0.14902659064936755,3.0323979562509487,6.087404526844355,9.119802483095304,0.7058622007811104,0.2941377992188894,0.411724401562221,0.6674930228070314,3.0074556884250145,0.24358372285833102,0.10042573641064384,0.34400945926897486,1.0373236589199748,1.25,1.9290526568115656,14.0,0.04,8.0,0.02,4.0,5.0,5.0,18.0,1.0,1.1102230246251565e-16,2.220446049250313e-16,9.0,0.6,0.0,0.0005,0.32,0.08
0.2557766508903632,0.32943053370233716,0.5852071845927003,0.44464771370949346,0.14055947088320683,4.603979716026538,5.929749606642069,10.533729322668606,0.7598124654244717,0.2401875345755284,0.5196249308489432,0.5629297492846371,2.2879617140797777,0.3792683936883369,0.14256675322408807,0.5218351469124249,0.8267638078029602,1.25,1.875,14.0,0.04,8.0,0.02,4.0,5.0,5.0,18.0,1.0,1.1102230246251565e-16,0.0,9.0,1.0,0.0,0.0005,0.32,0.08
0.3659336233407789,0.3768826364134552,0.742816259754234,0.522268102525171,0.22054815722906304,6.58680522013402,6.783887455442194,13.370692675576212,0.703091909563163,0.2969080904368369,0.4061838191263262,0.5073699336335873,2.029920762603659,0.49084078399012426,0.2558705023942885,0.7467112863844128,0.6973781116226223,1.25,1.875,14.0,0.04,8.0,0.02,4.0,5.0,5.0,18.0,1.0,0.0,0.0,9.0,1.4,0.0,0.0005,0.32,0.08
0.17709935638516,0.5475178573231577,0.7246172137083177,0.5117034926621922,0.2129137210461256,3.18778841493288,9.855321431816838,13.043109846749719,0.7061707657253775,0.2938292342746227,0.4123415314507548,0.7555959849769063,4.091585810918491,0.26103360947505755,0.10056776799090242,0.36160137746596,1.269468581199972,1.2509439620934488,2.3345776522241533,17.0,0.04,8.0,0.02,4.0,5.0,5.0,18.0,1.0,1.1102230246251565e-16,2.220446049250313e-16,12.0,0.6,0.0,0.0005,0.32,0.08
0.29351282007224105,0.5355223441595126,0.8290351642317536,0.6356932400187555,0.19334192421299803,5.283230761300339,9.639402194871227,14.922632956171565,0.7667868233404028,0.2332131766595971,0.5335736466808058,0.6459585398356027,2.8245279508667007,0.44194650391506507,0.15675579040882787,0.5987022943238929,1.0080073241753333,1.25,1.875,17.0,0.04,8.0,0.02,4.0,5.0,5.0,18.0,1.0,1.1102230246251565e-16,1.1102230246251565e-16,12.0,1.0,0.0,0.0005,0.32,0.08
0.4403887833394602,0.6268645170401097,1.0672533003795697,0.7539445561049106,0.3133087442746591,7.926998100110284,11.283561306721975,19.210559406832253,0.706434504195742,0.29356549580425806,0.412869008391484,0.5873624535217317,2.4234343397363736,0.5907096909841152,0.3078274559690954,0.8985371469532106,0.8403484973596286,1.25,1.875,17.0,0.04,8.0,0.02,4.0,5.0,5.0,18.0,1.0,2.220446049250313e-16,0.0,12.0,1.4,0.0,0.0005,0.32,0.08
0.5702725733789267,0.0,0.5702725733789267,0.37475319401763824,0.1955193793612885,10.26490632082068,0.0,10.26490632082068,0.6571474966737134,0.34285250332628664,0.31429499334742683,0.0,1.0,0.3824681260163027,0.19999928333973685,0.5824674093560396,1.25,2.5,3.75,10.0,0.04,8.0,0.02,4.0,5.0,10.0,18.0,1.0,0.0,0.0,0.0,0.6,0.0,0.0005,0.32,0.08
0.5702725733789267,0.0,0.5702725733789267,0.37475319401763824,0.1955193793612885,10.26490632082068,0.0,10.26490632082068,0.6571474966737134,0.34285250332628664,0.31429499334742683,0.0,1.0,0.3824681260163027,0.19999928333973685,0.5824674093560396,1.25,2.5,3.75,10.0,0.04,8.0,0.02,4.0,5.0,10.0,18.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0005,0.32,0.08
0.5702725733789267,0.0,0.5702725733789267,0.37475319401763824,0.1955193793612885,10.26490632082068,0.0,10.26490632082068,0.6571474966737134,0.34285250332628664,0.31429499334742683,0.0,1.0,0.3824681260163027,0.19999928333973685,0.5824674093560396,1.25,2.5,3.75,10.0,0.04,8.0,0.02,4.0,5.0,10.0,18.0,1.0,0.0,0.0,0.0,1.4,0.0,0.0005,0.32,0.08
0.5875381798991399,0.10471067256661792,0.6922488524657578,0.46809607814061677,0.22415277432514102,10.575687238184518,1.8847921061991226,12.460479344383641,0.6761962500526806,0.32380374994731936,0.3523925001053612,0.1512616051202446,1.1782193500762677,0.39991801263303,0.2001413149199952,0.6000593275530253,1.25,2.5,3.75,13.0,0.04,8.0,0.02,4.0,5.0,10.0,18.0,1.0,0.0,0.0,3.0,0.6,0.0,0.0005,0.32,0.08
0.6457449117426812,0.0992683151060641,0.7450132268487454,0.5161523192699011,0.22886090757884422,11.623408411368262,1.7868296719091536,13.410238083277417,0.6928096048081195,0.3071903951918805,0.38561920961623886,0.13324369491525526,1.1537268250990431,0.4451462362430312,0.2141883205244767,0.6593345567675079,1.25,2.5,3.75,13.0,0.04,8.0,0.02,4.0,5.0,10.0,18.0,1.0,1.1102230246251565e-16,0.0,3.0,1.0,0.0,0.0005,0.32,0.08
0.7191828933762903,0.09581217199792148,0.8149950653742118,0.5494524147321211,0.2655426506420906,12.945292080773225,1.7246190959625867,14.669911176735813,0.6741788239905913,0.32582117600940863,0.34835764798118257,0.1175616590438232,1.1332236526763309,0.48233703301029396,0.25195623691454355,0.7342932699248375,1.25,2.5,3.75,13.0,0.04,8.0,0.02,4.0,5.0,10.0,18.0,1.0,1.1102230246251565e-16,1.1102230246251565e-16,3.0,1.4,0.0,0.0005,0.32,0.08
